Tier,Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Daily Rain,Weekly Rain,Monthly Rain,Event Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation,Indoor Temperature,Indoor Humidity
Average,43829,63.99705449,63.8009352,50.63597202,1.248600884,1.883799705,9.704712813,SSW,0.000515464,0.008600884,0.266870398,4.657452135,0.19736377,60.74860088,29.7866053,65.5,0.3,46.45559647,74.66708395,44.9
Average,43828,61.99817518,61.99817518,61.50748905,0.386058394,0.639562044,3.637737226,SSW,0.011306569,0.184664234,0.184664234,4.576992701,0.184678832,60.65467883,30.05292665,98.3,0.1,29.90412409,74.68540305,47.9
Average,43822,44.4928267,44.48608665,44.19359375,0.602272727,1.042471591,6.497017045,SSE,0.029914773,0.49693892,0.755433239,4.221171875,0.768821023,60.26882102,30.11600142,98.9,0,13.35850142,75.51768466,30.6
Average,43821,39.32372521,39.32372521,35.43026204,0.022379603,0.064660057,1.160764873,SSE,0.010573654,0.024263456,0.024263456,3.493002833,0.024263456,59.52426346,30.38509915,87.2,0.1,23.54484419,75.6805949,27.2
Average,43816,58.15141443,58.14657709,55.83044554,0.721994342,1.149717115,6.582602546,SSW,0.02188826,0.34427157,0.34427157,3.305339463,0.34427157,59.31427157,29.86300423,92.3,0,13.76255304,75.15359661,40.6
Average,43813,46.09385159,46.09021201,41.95411307,0.370954064,0.629964664,6.534840989,SSW,0.010621908,0.2264947,2.326727915,2.9404947,2.0464947,58.9364947,29.69614134,86.8,0.3,45.92074205,75.43286219,33.1
Average,43812,36.16808664,36.16561011,35.55572563,0.22967509,0.437761733,4.032129964,SSE,0.073819495,1.039400722,1.394440433,2.008563177,1.039487365,57.92948736,30.13854152,97.8,0,6.003191336,75.53516245,28.8
Average,43810,39.18234375,39.17660938,32.72282031,0.3034375,0.51125,5.257890625,S,0.005226563,0.107695313,0.346953125,0.959453125,0.338015625,56.87801563,30.41945335,80.8,0.2,37.20596875,73.35648688,35.6
Average,43809,55.64365782,55.65644543,54.69481563,0.469542773,0.807374631,7.020501475,SSW,0.01,0.044255162,0.053842183,0.667411504,0.04089233,56.57425516,30.05317847,96.7,0,11.95958702,72.98613569,37.3
Average,43808,48.42655539,48.42655539,46.68330804,0.209863429,0.388467375,3.528831563,SW,0.000106222,0.009954476,0.009954476,0.649954476,0.001138088,56.52995448,30.03887709,93.7,0,16.25729894,73.28892261,31.6
Average,43805,42.34936441,42.34936441,37.66293079,0.022387006,0.041313559,2.34180791,SW,0.000317797,0.004074859,0.607379944,0.607379944,0.00075565,56.51407486,30.23294492,84.6,0.1,24.35537429,73.16617232,30.5
Average,43800,54.99976,54.99976,47.079736,0.71072,1.16096,6.76136,S,0.030536,0.466928,0.466928,0.466928,1.277808,56.347808,29.6679745,80,0.2,38.851704,73.11104816,41.6
Average,43799,50.40468178,50.40468178,44.23188734,0.179517191,0.321726408,2.472567666,SSE,0.03125823,0.089824433,0.204732992,2.656115582,0.089824433,55.15982443,30.03756466,80.2,0.2,34.46907096,73.23441092,37.3
Average,43796,54.47556022,54.47556022,51.73958683,0.392366947,0.620658263,6.082002801,SSW,0.004439776,0.06644958,0.076029412,2.528466387,0.06644958,55.02644958,30.03212885,90.7,0.1,23.81253501,74.12212885,40.9
Average,43793,45.76276446,45.7590409,39.0127292,0.378561354,0.599012694,5.04506347,S,0.000493653,0.009576869,0.009576869,2.461255289,0.972108604,54.95988011,29.80639633,80.3,0.2,36.02270289,73.4842031,38.2
Average,43792,50.99393512,50.99330042,48.92009873,0.253102962,0.439985896,4.550916784,SSW,0.044435825,0.393251058,0.546480959,1.791473907,0.393251058,54.24325106,29.9053103,92.9,0,9.752461213,72.82277856,41.3
